,监测时间,监测因子,监测日期,折算浓度,标准浓度,pscode,mpcode
40,2020-01-09 00:00:00,颗粒物,20200109,3.25,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
41,2020-01-09 00:00:00,二氧化硫,20200109,19.58,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
42,2020-01-09 00:00:00,氮氧化物,20200109,117.3,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
43,2020-01-09 00:00:00,一氧化碳,20200109,5.51,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
44,2020-01-09 00:00:00,氯化氢,20200109,3.61,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
45,2020-01-10 00:00:00,颗粒物,20200110,3.42,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
46,2020-01-10 00:00:00,二氧化硫,20200110,21.08,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
47,2020-01-10 00:00:00,氮氧化物,20200110,121.81,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
48,2020-01-10 00:00:00,一氧化碳,20200110,6.63,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
49,2020-01-10 00:00:00,氯化氢,20200110,3.73,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
50,2020-01-11 00:00:00,颗粒物,20200111,3.24,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
51,2020-01-11 00:00:00,二氧化硫,20200111,23.15,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
52,2020-01-11 00:00:00,氮氧化物,20200111,125.65,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
53,2020-01-11 00:00:00,一氧化碳,20200111,5.44,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
54,2020-01-11 00:00:00,氯化氢,20200111,4.13,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
55,2020-01-12 00:00:00,颗粒物,20200112,3.57,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
56,2020-01-12 00:00:00,二氧化硫,20200112,18.46,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
57,2020-01-12 00:00:00,氮氧化物,20200112,127.82,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
58,2020-01-12 00:00:00,一氧化碳,20200112,6.59,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
59,2020-01-12 00:00:00,氯化氢,20200112,2.92,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
60,2020-01-13 00:00:00,颗粒物,20200113,3.39,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
61,2020-01-13 00:00:00,二氧化硫,20200113,19.63,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
62,2020-01-13 00:00:00,氮氧化物,20200113,127.69,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
63,2020-01-13 00:00:00,一氧化碳,20200113,6.13,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
64,2020-01-13 00:00:00,氯化氢,20200113,3.4,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
65,2020-01-14 00:00:00,颗粒物,20200114,3.39,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
66,2020-01-14 00:00:00,二氧化硫,20200114,15.75,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
67,2020-01-14 00:00:00,氮氧化物,20200114,121.05,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
68,2020-01-14 00:00:00,一氧化碳,20200114,6.06,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
69,2020-01-14 00:00:00,氯化氢,20200114,2.22,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
70,2020-01-15 00:00:00,颗粒物,20200115,3.04,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
71,2020-01-15 00:00:00,二氧化硫,20200115,15.47,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
72,2020-01-15 00:00:00,氮氧化物,20200115,123.4,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
73,2020-01-15 00:00:00,一氧化碳,20200115,4.85,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
74,2020-01-15 00:00:00,氯化氢,20200115,2.65,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
75,2020-01-16 00:00:00,颗粒物,20200116,3.07,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
76,2020-01-16 00:00:00,二氧化硫,20200116,14.76,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
77,2020-01-16 00:00:00,氮氧化物,20200116,126.07,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
78,2020-01-16 00:00:00,一氧化碳,20200116,5.52,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
79,2020-01-16 00:00:00,氯化氢,20200116,2.51,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
80,2020-01-17 00:00:00,颗粒物,20200117,3.35,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
81,2020-01-17 00:00:00,二氧化硫,20200117,14.21,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
82,2020-01-17 00:00:00,氮氧化物,20200117,124.72,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
83,2020-01-17 00:00:00,一氧化碳,20200117,6.19,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
84,2020-01-17 00:00:00,氯化氢,20200117,1.39,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
85,2020-01-18 00:00:00,颗粒物,20200118,3.47,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
86,2020-01-18 00:00:00,二氧化硫,20200118,10.72,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
87,2020-01-18 00:00:00,氮氧化物,20200118,122.86,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
88,2020-01-18 00:00:00,一氧化碳,20200118,5.12,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
89,2020-01-18 00:00:00,氯化氢,20200118,1.96,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
90,2020-01-19 00:00:00,颗粒物,20200119,3.59,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
91,2020-01-19 00:00:00,二氧化硫,20200119,14.63,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
92,2020-01-19 00:00:00,氮氧化物,20200119,127.33,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
93,2020-01-19 00:00:00,一氧化碳,20200119,4.65,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
94,2020-01-19 00:00:00,氯化氢,20200119,2.84,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
95,2020-01-20 00:00:00,颗粒物,20200120,3.75,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
96,2020-01-20 00:00:00,二氧化硫,20200120,14.17,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
97,2020-01-20 00:00:00,氮氧化物,20200120,124.14,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
98,2020-01-20 00:00:00,一氧化碳,20200120,5.89,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
99,2020-01-20 00:00:00,氯化氢,20200120,2.53,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
100,2020-01-21 00:00:00,颗粒物,20200121,3.87,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
101,2020-01-21 00:00:00,二氧化硫,20200121,17.07,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
102,2020-01-21 00:00:00,氮氧化物,20200121,129.27,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
103,2020-01-21 00:00:00,一氧化碳,20200121,7.96,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
104,2020-01-21 00:00:00,氯化氢,20200121,3.32,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
105,2020-01-22 00:00:00,颗粒物,20200122,4.54,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
106,2020-01-22 00:00:00,二氧化硫,20200122,15.59,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
107,2020-01-22 00:00:00,氮氧化物,20200122,130.52,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
108,2020-01-22 00:00:00,一氧化碳,20200122,7.0,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
109,2020-01-22 00:00:00,氯化氢,20200122,2.76,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
110,2020-01-23 00:00:00,颗粒物,20200123,4.63,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
111,2020-01-23 00:00:00,二氧化硫,20200123,15.5,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
112,2020-01-23 00:00:00,氮氧化物,20200123,126.25,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
113,2020-01-23 00:00:00,一氧化碳,20200123,7.48,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
114,2020-01-23 00:00:00,氯化氢,20200123,4.14,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049FE6DF1305A373A24C
