,监测时间,监测因子,监测日期,折算浓度,标准浓度,pscode,mpcode
38,2020-01-08 00:00:00,一氧化碳,20200108,3.92,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
39,2020-01-08 00:00:00,氯化氢,20200108,3.31,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
40,2020-01-09 00:00:00,颗粒物,20200109,3.78,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
41,2020-01-09 00:00:00,二氧化硫,20200109,13.71,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
42,2020-01-09 00:00:00,氮氧化物,20200109,118.79,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
43,2020-01-09 00:00:00,一氧化碳,20200109,4.97,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
44,2020-01-09 00:00:00,氯化氢,20200109,2.72,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
45,2020-01-10 00:00:00,颗粒物,20200110,3.76,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
46,2020-01-10 00:00:00,二氧化硫,20200110,13.23,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
47,2020-01-10 00:00:00,氮氧化物,20200110,109.65,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
48,2020-01-10 00:00:00,一氧化碳,20200110,4.13,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
49,2020-01-10 00:00:00,氯化氢,20200110,2.91,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
50,2020-01-11 00:00:00,颗粒物,20200111,3.75,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
51,2020-01-11 00:00:00,二氧化硫,20200111,14.08,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
52,2020-01-11 00:00:00,氮氧化物,20200111,125.98,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
53,2020-01-11 00:00:00,一氧化碳,20200111,3.89,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
54,2020-01-11 00:00:00,氯化氢,20200111,3.01,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
55,2020-01-12 00:00:00,颗粒物,20200112,3.73,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
56,2020-01-12 00:00:00,二氧化硫,20200112,12.82,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
57,2020-01-12 00:00:00,氮氧化物,20200112,126.0,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
58,2020-01-12 00:00:00,一氧化碳,20200112,3.46,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
59,2020-01-12 00:00:00,氯化氢,20200112,2.66,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
60,2020-01-13 00:00:00,颗粒物,20200113,3.66,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
61,2020-01-13 00:00:00,二氧化硫,20200113,14.07,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
62,2020-01-13 00:00:00,氮氧化物,20200113,122.65,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
63,2020-01-13 00:00:00,一氧化碳,20200113,3.15,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
64,2020-01-13 00:00:00,氯化氢,20200113,3.09,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
65,2020-01-14 00:00:00,颗粒物,20200114,3.81,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
66,2020-01-14 00:00:00,二氧化硫,20200114,13.52,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
67,2020-01-14 00:00:00,氮氧化物,20200114,116.57,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
68,2020-01-14 00:00:00,一氧化碳,20200114,1.77,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
69,2020-01-14 00:00:00,氯化氢,20200114,2.9,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
70,2020-01-15 00:00:00,颗粒物,20200115,3.9,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
71,2020-01-15 00:00:00,二氧化硫,20200115,11.71,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
72,2020-01-15 00:00:00,氮氧化物,20200115,112.03,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
73,2020-01-15 00:00:00,一氧化碳,20200115,2.09,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
74,2020-01-15 00:00:00,氯化氢,20200115,1.44,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
75,2020-01-16 00:00:00,颗粒物,20200116,3.86,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
76,2020-01-16 00:00:00,二氧化硫,20200116,11.24,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
77,2020-01-16 00:00:00,氮氧化物,20200116,124.11,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
78,2020-01-16 00:00:00,一氧化碳,20200116,2.31,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
79,2020-01-16 00:00:00,氯化氢,20200116,1.78,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
80,2020-01-17 00:00:00,颗粒物,20200117,3.89,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
81,2020-01-17 00:00:00,二氧化硫,20200117,11.87,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
82,2020-01-17 00:00:00,氮氧化物,20200117,123.03,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
83,2020-01-17 00:00:00,一氧化碳,20200117,3.78,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
84,2020-01-17 00:00:00,氯化氢,20200117,2.19,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
85,2020-01-18 00:00:00,颗粒物,20200118,3.88,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
86,2020-01-18 00:00:00,二氧化硫,20200118,10.41,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
87,2020-01-18 00:00:00,氮氧化物,20200118,113.96,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
88,2020-01-18 00:00:00,一氧化碳,20200118,3.57,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
89,2020-01-18 00:00:00,氯化氢,20200118,0.96,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
90,2020-01-19 00:00:00,颗粒物,20200119,3.92,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
91,2020-01-19 00:00:00,二氧化硫,20200119,11.75,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
92,2020-01-19 00:00:00,氮氧化物,20200119,123.49,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
93,2020-01-19 00:00:00,一氧化碳,20200119,4.13,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
94,2020-01-19 00:00:00,氯化氢,20200119,1.79,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
95,2020-01-20 00:00:00,颗粒物,20200120,3.95,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
